bus,v_pu_squared,V_magnitude_pu,p_inject_pu,q_inject_pu,P_inject_MW,Q_inject_MVar
1,1.0,1.0,0.5416653669676851,0.2781019064096738,5.416653669676851,2.7810190640967383
2,0.9921524587740149,0.9960685010449909,-0.01,-0.006,-0.1,-0.06
3,0.9541811373179235,0.9768219578397711,-0.009,-0.004,-0.09,-0.04
4,0.939518603586007,0.9692876784453659,-0.012,-0.008,-0.12,-0.08
5,0.9251325970987647,0.9618381345625493,-0.006,-0.003,-0.06,-0.03
6,0.8898269326853133,0.9433063832527125,-0.006,-0.002,-0.06,-0.02
7,0.8832166090468225,0.9397960465158505,-0.02,-0.01,-0.2,-0.1
8,0.8740707227456568,0.9349174951543354,-0.02,-0.01,-0.2,-0.1
9,0.8623042670879797,0.928603396013594,-0.006,-0.002,-0.06,-0.02
10,0.8514612420336443,0.9227465751947521,-0.006,-0.002,-0.06,-0.02
11,0.8498634237815689,0.9218803738997641,-0.0045,-0.003,-0.045,-0.03
12,0.8470808811205661,0.9203699696972768,-0.006,-0.0035000000000000005,-0.06,-0.035
13,0.8357845787325845,0.9142125457094671,-0.006,-0.0035000000000000005,-0.06,-0.035
14,0.8316150810755558,0.9119293180261043,-0.012,-0.008,-0.12,-0.08
15,0.829022489618683,0.9105067213473401,-0.006,-0.001,-0.06,-0.01
16,0.82651523344396,0.9091288321486455,-0.006,-0.002,-0.06,-0.02
17,0.8228064951285844,0.9070868178562537,-0.006,-0.002,-0.06,-0.02
18,0.8216975070595294,0.9064753207117827,-0.009,-0.004,-0.09,-0.04
19,0.9910991378761743,0.9955396214496811,-0.009,-0.004,-0.09,-0.04
20,0.9839817215850405,0.991958528157826,-0.009,-0.004,-0.09,-0.04
21,0.9825831751017853,0.9912533354807868,-0.009,-0.004,-0.09,-0.04
22,0.9813186583968162,0.9906152928341134,-0.009,-0.004,-0.09,-0.04
23,0.9378551447350675,0.9684292151391694,-0.009,-0.005,-0.09,-0.05
24,0.9063662384988838,0.9520326877260485,-0.182,-0.048428212488760586,-1.8199999999999998,-0.48428212488760586
25,0.8999084746003122,0.9486350587029304,-0.041999999999999996,-0.02,-0.41999999999999993,-0.2
26,0.886164862362419,0.9413632998807734,-0.006,-0.0025,-0.06,-0.025
27,0.8813100483311679,0.9387811503919153,-0.006,-0.0025,-0.06,-0.025
28,0.8598100325043047,0.9272594202833987,-0.006,-0.002,-0.06,-0.02
29,0.8445283535954634,0.9189822379107572,-0.012,-0.007000000000000001,-0.12,-0.07
30,0.8379556923248183,0.9153991983418045,-0.02,-0.06,-0.2,-0.6
31,0.8302998594246214,0.9112079122925906,-0.015,-0.007000000000000001,-0.15,-0.07
32,0.8286203540990309,0.910285863945514,-0.020999999999999998,-0.01,-0.20999999999999996,-0.1
33,0.8281003025827731,0.9100001662542557,-0.006,-0.004,-0.06,-0.04
