from_bus,to_bus,P_MW,Q_MVar,l_pu,I_magnitude_pu,r_ij,x_ij
1,2,3.9176773630544375,2.435141195700008,0.21278112558714718,0.46128204559374214,0.005752591161723931,0.002932448856844086
2,3,3.444299295663858,2.2078225162759666,0.16837471382896427,0.41033488010278174,0.03075951673242839,0.0156667639990117
3,4,2.3628952846749183,1.6842005971246332,0.08714649711558042,0.29520585548999606,0.022835665566062455,0.011629967381185907
4,5,2.2229948020933543,1.5940654879693708,0.07864037762372143,0.2804289172387923,0.023777792751984703,0.012110389853477383
5,6,2.144295856356866,1.5545418318508066,0.07485132252301045,0.273589697399245,0.05109948114372992,0.04411151791039933
6,7,1.0952674304682084,0.5278877801147968,0.016391608347413756,0.12802971665755478,0.011679881404281126,0.0386084968641515
7,8,0.8933529100488019,0.4215592265466074,0.01089977571729473,0.10440199096422792,0.044386045037423036,0.014668483537107332
8,9,0.68851493073169,0.31996039475429777,0.006505231737360849,0.08065501681458413,0.0642643047350938,0.046170471363077094
9,10,0.6243343887982867,0.296956898617923,0.005466743665961328,0.07393743075034004,0.06513780013926013,0.046170471363077094
10,11,0.5607734723451193,0.2744328773646148,0.004513987682508913,0.0671862164622247,0.012266371175649942,0.004055514376486502
11,12,0.5152197698551284,0.2442498119407539,0.003772021870506063,0.06141678818129505,0.02335976280856225,0.00772419507398506
12,13,0.45433863456551155,0.20895845364420546,0.0029109863148383307,0.053953557017478754,0.09159223237972591,0.07206337084372169
13,14,0.3916723973631999,0.1718606988722078,0.002157809132974356,0.04645222419835627,0.03379179363546291,0.04447963383072657
14,15,0.2709432348865919,0.09090091326595928,0.000968093868146472,0.031114206853887053,0.03687398456159265,0.032818470185106155
15,16,0.2105862601549761,0.08058319970492306,0.000604484111268899,0.02458625858622859,0.046563544294951936,0.03400392823361759
16,17,0.15030479092667878,0.060377651374962434,0.00031288600352820324,0.017688583988782234,0.08042396971217078,0.10737754218358876
17,18,0.09005315561495912,0.04004168215086507,0.00011638745525109279,0.010788301777902432,0.04567133113212491,0.03581331157081926
2,19,0.3611376387759495,0.1610789815020644,0.0015729969531894014,0.039661025619484445,0.01023237473451979,0.009764430768002116
19,20,0.2709766839370299,0.12092538735439133,0.0008867290332719667,0.029777995790045485,0.09385084192478454,0.08456683362907391
20,21,0.18014448125456267,0.0801755087166963,0.0003946823774537832,0.019866614645021513,0.02554974057186496,0.029848585810940652
21,22,0.09004364092112756,0.040057701620030736,9.866824671755444e-05,0.009933189151403211,0.04423006371525048,0.05848051730893536
3,23,0.9396127629170236,0.4572430501870236,0.011301808447725808,0.1063099640096158,0.028151509025703222,0.019235616650319823
23,24,0.8464311330238012,0.405069077514438,0.009180468001214222,0.09581475878597316,0.05602849092438275,0.04424254222102428
24,25,0.42128745565272124,0.20100740524581162,0.002302987735251635,0.04798945441710746,0.0559037058666447,0.043743401990072095
6,26,0.9507797883871878,0.9736359971948227,0.020534992711031215,0.14330035837719043,0.01266568336041169,0.00645138748505699
26,27,0.888178891100338,0.9473112051037057,0.01877398453202273,0.13701819051506528,0.017731956704576366,0.009028198927347643
27,28,0.8248498963157591,0.9206162524507422,0.0171034196067856,0.13078004284593883,0.06607368807229547,0.05825590420500687
28,29,0.7535490362482169,0.8906525007546374,0.015611731535955808,0.12494691487169984,0.05017607171646838,0.04371220572563759
29,30,0.6257156826718069,0.813828268575153,0.012303070499048113,0.11091920707906323,0.03166420840102922,0.016128468712642473
30,31,0.42182001274733805,0.21184397168750013,0.0026213201573183167,0.05119882964793548,0.06079528012997611,0.06008400530086925
31,32,0.27022637386485665,0.1402689775946171,0.0011004908568124055,0.03317364702308755,0.019372880213831673,0.02257985619769946
32,33,0.060013177174844126,0.040020488394619136,6.193504104989753e-05,0.007869881895549484,0.02127585234433688,0.03308051880635605
