bus,v_pu_squared,V_magnitude_pu,p_inject_pu,q_inject_pu,P_inject_MW,Q_inject_MVar
1,1.0,1.0,0.5416653754748644,0.27810191452963356,5.416653754748644,2.7810191452963355
2,0.9921524586530048,0.9960685009842469,-0.01,-0.006,-0.1,-0.06
3,0.9541811368047093,0.9768219575770752,-0.009,-0.004,-0.09,-0.04
4,0.9395186027904705,0.9692876780349942,-0.012,-0.008,-0.12,-0.08
5,0.9251325960339588,0.9618381340090227,-0.006,-0.003,-0.06,-0.03
6,0.8898269310252462,0.9433063823727932,-0.006,-0.002,-0.06,-0.02
7,0.8832166072658404,0.939796045568314,-0.02,-0.01,-0.2,-0.1
8,0.8740707208105589,0.9349174941194324,-0.02,-0.01,-0.2,-0.1
9,0.8623042648847534,0.9286033948272823,-0.006,-0.002,-0.06,-0.02
10,0.8514612395738559,0.9227465738618897,-0.006,-0.002,-0.06,-0.02
11,0.8498634212844576,0.9218803725454066,-0.0045,-0.003,-0.045,-0.03
12,0.8470808785535104,0.9203699683026986,-0.006,-0.0035000000000000005,-0.06,-0.035
13,0.8357845758228898,0.9142125441181005,-0.006,-0.0035000000000000005,-0.06,-0.035
14,0.831615078013827,0.9119293163473948,-0.012,-0.008,-0.12,-0.08
15,0.8290224864244825,0.9105067195932617,-0.006,-0.001,-0.06,-0.01
16,0.8265152301036635,0.909128830311559,-0.006,-0.002,-0.06,-0.02
17,0.8228064914927995,0.907086815852154,-0.006,-0.002,-0.06,-0.02
18,0.8216975033628376,0.9064753186727357,-0.009,-0.004,-0.09,-0.04
19,0.9910991375920267,0.9955396213069707,-0.009,-0.004,-0.09,-0.04
20,0.9839817200007335,0.9919585273592508,-0.009,-0.004,-0.09,-0.04
21,0.9825831732498695,0.9912533345466584,-0.009,-0.004,-0.09,-0.04
22,0.9813186563832328,0.9906152918177837,-0.009,-0.004,-0.09,-0.04
23,0.9378551442407055,0.9684292148839302,-0.009,-0.005,-0.09,-0.05
24,0.9063662380461583,0.9520326874882807,-0.18199999956395713,-0.0484282124002183,-1.8199999956395714,-0.484282124002183
25,0.8999084741418252,0.9486350584612743,-0.041999999999999996,-0.02,-0.41999999999999993,-0.2
26,0.8861648606472956,0.941363298969795,-0.006,-0.0025,-0.06,-0.025
27,0.8813100465468452,0.9387811494415752,-0.006,-0.0025,-0.06,-0.025
28,0.8598100304489199,0.9272594191750871,-0.006,-0.002,-0.06,-0.02
29,0.844528351359221,0.918982236694062,-0.012,-0.007000000000000001,-0.12,-0.07
30,0.8379556900001024,0.9153991970720219,-0.020000000436053652,-0.06000000008854447,-0.20000000436053653,-0.6000000008854447
31,0.8302998569590401,0.9112079109396714,-0.015,-0.007000000000000001,-0.15,-0.07
32,0.8286203515868975,0.9102858625656545,-0.020999999999999998,-0.01,-0.20999999999999996,-0.1
33,0.8281003000402667,0.9100001648572744,-0.006,-0.004,-0.06,-0.04
