t,branch,P,Q,l,v,l*v,P^2+Q^2,gap
0,0->1,0.39176773630544376,0.2435141195700008,0.21278112558714718,1.0,0.21278112558714718,0.21278108563984435,3.99473028267483e-08
0,1->2,0.3444299295663858,0.22078225162759665,0.16837471382896427,0.9940733266264522,0.16737681189573542,0.16737677901485687,3.288087854769195e-08
0,2->3,0.23628952846749185,0.16842005971246332,0.08714649711558042,0.9661670779288831,0.08419807646989817,0.08419805777693935,1.8692958819732652e-08
0,3->4,0.22229948020933543,0.15940654879693708,0.07864037762372143,0.9515152122047633,0.07482751560249802,0.074827506700691,8.901807027617004e-09
0,4->5,0.2144295856356866,0.15545418318508067,0.07485132252301045,0.9371386748493432,0.07014606919993481,0.07014605026563286,1.893430194577217e-08
0,5->6,0.10952674304682085,0.05278877801147967,0.016391608347413756,0.9018506499488184,0.014782782641821573,0.0147827625263896,2.011543197288912e-08
0,6->7,0.08933529100488019,0.04215592265466074,0.01089977571729473,0.8952426102005828,0.009757943663751864,0.009757916033792367,2.7629959497427192e-08
0,7->8,0.068851493073169,0.031996039475429776,0.006505231737360849,0.8860992219062029,0.005764280780794985,0.005764274640517899,6.1402770862653555e-09
0,8->9,0.062433438879828676,0.0296956898617923,0.005466743665961328,0.8743360240377126,0.004779770921329977,0.004779768286729057,2.6346009193711772e-09
0,9->10,0.05607734723451193,0.027443287736461482,0.004513987682508913,0.8634951908645887,0.0038978066554684362,0.00389780291464624,3.740822196278415e-09
0,10->11,0.05152197698551284,0.02442498119407539,0.003772021870506063,0.8618976198916929,0.003251096672368587,0.003251093818826651,2.8535419361631897e-09
0,11->12,0.045433863456551156,0.020895845364420546,0.0029109863148383307,0.8591154942912739,0.002500873446747466,0.0025008723020823105,1.1446651556300258e-09
0,12->13,0.03916723973631999,0.01718606988722078,0.002157809132974356,0.8478206040164478,0.001829435042470526,0.0018294336667308007,1.3757397252650572e-09
0,13->14,0.027094323488659186,0.009090091326595929,0.000968093868146472,0.8436514143230829,0.0008167337610592752,0.0008167321256339634,1.63542531177608e-09
0,14->15,0.02105862601549761,0.008058319970492306,0.000604484111268899,0.8410589762042593,0.0005084067877555617,0.0005084022504074279,4.537348133825357e-09
0,15->16,0.015030479092667878,0.006037765137496243,0.00031288600352820324,0.8385518281715,0.0002623711302678492,0.0002623699096106912,1.22065715798007e-09
0,16->17,0.009005315561495912,0.004004168215086507,0.00011638745525109279,0.8348431971247119,9.716527524703164e-05,9.71290714568295e-05,3.620379020213187e-08
0,1->18,0.03611376387759495,0.01610789815020644,0.0015729969531894014,0.9940733266264522,0.001563674314030262,0.0015636683242241057,5.989806156278532e-09
0,18->19,0.02709766839370299,0.012092538735439133,0.0008867290332719667,0.9930200132547591,0.0008805396763731081,0.0008805131254431858,2.6550929922318153e-08
0,19->20,0.018014448125456266,0.00801755087166963,0.0003946823774537832,0.9859026316248618,0.0003891183945876419,0.0003888014632445652,3.169313430767041e-07
0,20->21,0.009004364092112756,0.004005770162003074,9.866824671755444e-05,0.9845040868437152,9.713929213513633e-05,9.71247672941237e-05,1.452484101262697e-08
0,2->22,0.09396127629170235,0.04572430501870236,0.011301808447725808,0.9661670779288831,0.01091943524325121,0.010919433511808956,1.7314422551956143e-09
0,22->23,0.08464311330238013,0.0405069077514438,0.009180468001214222,0.9591308426273819,0.008805270009718313,0.008805266205103537,3.804614776004023e-09
0,23->24,0.04212874556527212,0.020100740524581162,0.002302987735251635,0.9461085227835722,0.0021788763241876088,0.002178870972539975,5.351647633725087e-09
0,5->25,0.09507797883871878,0.09736359971948227,0.020534992711031215,0.9018506499488184,0.01851949652313775,0.018519492610391427,3.912746321388383e-09
0,25->26,0.0888178891100338,0.09473112051037057,0.01877398453202273,0.8981900830714007,0.016862606726398686,0.016862602619112613,4.107286073751215e-09
0,26->27,0.08248498963157591,0.09206162524507422,0.0171034196067856,0.8933371835377586,0.015279120700390326,0.015279116357285672,4.3431046536923645e-09
0,27->28,0.0753549036248217,0.08906525007546374,0.015611731535955808,0.871843455830865,0.013610985973811409,0.01361098027131106,5.702500348661599e-09
0,28->29,0.06257156826718069,0.0813828268575153,0.012303070499048113,0.8565640875803393,0.010538368356453737,0.010538365662734767,2.693718970103731e-09
0,29->30,0.0421820012747338,0.021184397168750015,0.0026213201573183167,0.8499919041688003,0.002228100911955055,0.0022280999149449877,9.970100673870053e-10
0,30->31,0.027022637386485665,0.01402689775946171,0.0011004908568124055,0.8423364359034212,0.000926983546071664,0.0009269767920758847,6.7539957792099245e-09
0,31->32,0.006001317717484413,0.004002048839461913,6.193504104989753e-05,0.840656946708628,5.2066122503280394e-05,5.2032209259630775e-05,3.391324364961887e-08
